x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
275.2577,29.039322,6.893,6.202,275.10353788855787,0.12327350612806903,1.3770584298285423e-05
280.220176,29.654355,6.903,6.189,280.1039812330689,0.12334570347509981,1.5105824342859412e-05
285.182502,30.26975,6.912,6.177,285.10432025520544,0.12342452635062673,1.642123192808363e-05
290.144669,30.885539,6.922,6.164,290.1045499927685,0.12350684017934839,1.6502681195794825e-05
295.106709,31.501728,6.931,6.151,295.1047029749603,0.1235798796675986,1.271183067153048e-05
300.068763,32.118239,6.94,6.138,300.104909541897,0.12363278432915367,8.448962122289483e-06
305.030987,32.734984,6.95,6.125,305.1053136676853,0.12366381628234138,3.962875673227858e-06
309.993542,33.35187,6.959,6.112,310.1060636579389,0.12367284015549093,-3.535588426756942e-07
314.956587,33.968808,6.969,6.099,315.1073063203048,0.12366000921256756,-4.77696935552477e-06
319.920279,34.585706,6.978,6.086,320.10918610827133,0.12362531965284893,-9.092821330887979e-06
324.884778,35.202475,6.988,6.073,325.1118508302332,0.12356877151774004,-1.351329779602942e-05
329.850242,35.819023,6.997,6.06,330.1154459549011,0.12349039332519605,-1.7814130498232916e-05
334.81683,36.435261,7.006,6.048,335.1201183352261,0.12339018048641155,-2.2231975175268787e-05
339.784702,37.051097,7.016,6.035,340.12601547632676,0.12326808234672443,-2.654792219613182e-05
344.754015,37.666441,7.025,6.022,345.1332821888462,0.12312422568596332,-3.090912957735557e-05
349.724929,38.281202,7.035,6.009,350.14206618124564,0.12295862966974698,-3.521078467478422e-05
354.697602,38.89529,7.044,5.996,355.15251335057826,0.12277144078554647,-3.9506063162402836e-05
359.672193,39.508615,7.053,5.983,360.16477064374527,0.1225624877031193,-4.386791502557951e-05
364.648861,40.121085,7.063,5.97,365.17898482775496,0.12233182545980269,-4.8132364959197336e-05
369.627764,40.73261,7.072,5.957,370.195301993668,0.12207958736790496,-5.2431328197615914e-05
374.609062,41.343099,7.082,5.944,375.2138701743272,0.12241668805854523,0.00018673129030652395
379.590263,41.958315,7.091,5.932,380.2329193003128,0.1366257284416227,0.00551792496879155
384.514138,42.704871,7.1,5.919,385.21306898448506,0.19027311267308916,0.016282075539806373
389.271978,43.823043,7.097,5.926,390.1005376633805,0.2994778630714227,0.0285515799893684
393.753077,45.557525,6.833,6.357,394.90560541067873,0.46759125126266765,0.04048933333148659
397.846745,48.15278,6.539,6.689,399.7526113121863,0.673961230480167,0.04291425802832462
401.455531,51.709645,6.411,6.859,404.8196247345112,0.8624232302708552,0.0322359058766613
404.517845,55.939719,6.563,6.79,410.0418170978843,1.0098702081581648,0.02529789634318598
406.982103,60.506551,7.059,6.265,415.2310869893804,1.1360191863400653,0.023648328956360883
408.833341,65.232032,6.878,6.4,420.3062473626105,1.2561840998153289,0.023699305835806754
410.080915,70.029035,6.66,6.621,425.26282669391196,1.3717688859316166,0.02267742520769176
410.776003,74.863584,6.879,6.626,430.14708829226487,1.4771672483818319,0.020181400038562503
410.991814,79.729394,7.007,6.641,435.017681823224,1.5681570592475647,0.017027344413397
410.801754,84.620435,7.049,6.666,439.91241418233017,1.643371472546862,0.013661290580249957
410.279233,89.530676,7.043,6.762,444.85037883120344,1.7026424702394907,0.010362051128646648
409.49766,94.454084,7.035,6.823,449.8354367735741,1.746438550485228,0.007247881811926002
408.530442,99.38463,7.027,6.819,454.85995610557393,1.7754187844425235,0.004323534691499875
407.450988,104.316281,7.019,6.816,459.90836204447356,1.7901887833747436,0.0015470205410297953
406.332195,109.243054,7.011,6.812,464.9605684902137,1.7937488584065613,-0.00013679767051729894
405.218858,114.161525,7.002,6.809,470.0034720440614,1.79278644472372,-0.00024510167991759354
404.11368,119.072105,6.994,6.806,475.0368818573077,1.791606281127379,-0.0002237509028290878
403.01591,123.975521,6.986,6.802,480.0616791111236,1.790536417134048,-0.00020201019012662665
401.924796,128.872499,6.978,6.799,485.07874232514433,1.7895782240365545,-0.0001798978822721885
400.839584,133.763767,6.97,6.795,490.0889506773756,1.7887325739783795,-0.00015761487721843218
399.759523,138.650052,6.962,6.792,495.09318017500516,1.7880002352130422,-0.00013502251881569743
398.683861,143.532078,6.954,6.788,500.0923027583112,1.787382001611455,-0.00011227139189811427
397.611846,148.410575,6.945,6.785,505.0871950633798,1.786878615357084,-8.925396905439931e-05
396.542725,153.286267,6.937,6.782,510.0787271119101,1.7864906454002139,-6.617017143464678e-05
395.475746,158.159882,6.929,6.778,515.0677718455906,1.786218237779455,-4.301308861567997e-05
394.410158,163.032147,6.921,6.775,520.0552004431717,1.7860619166932028,-1.9661957688338145e-05
393.345207,167.903788,6.913,6.771,525.0418833752701,1.7860217485370633,3.554638342862879e-06
392.280143,172.775532,6.905,6.768,530.028691064126,1.7860977760332473,2.693152554988483e-05
391.214212,177.648105,6.897,6.764,535.0164938406087,1.786290094645606,5.017063002925286e-05
390.146662,182.522235,6.888,6.761,540.0061637955657,1.7865981336432353,7.327864818152161e-05
389.076743,187.398647,6.88,6.758,544.9985700951677,1.7870218652591148,9.644222773239369e-05
388.0037,192.278069,6.872,6.754,549.9945865416911,1.7875603513244465,0.00011908916649494691
386.926809,197.161131,6.864,6.751,554.994985397955,1.7882081488850754,0.00013999348860216582
385.845572,202.047625,6.856,6.747,559.9996729069015,1.7889584402830883,0.00015984189903585613
